,Unnamed: 0,ALT_CODE,ICD10,PHECODE,Excl. Phecodes,ICD10 String,Phenotype,Excl. Phenotypes,ICD10_NOX
3187,3187,H33,H33,361.1,360-365.99,Retinal detachments and breaks,Retinal detachment with retinal defect,Degenerative disorders of the eye,H33
3188,3188,H330,H33.0,361.1,360-365.99,Retinal detachment with retinal break,Retinal detachment with retinal defect,Degenerative disorders of the eye,H330
3189,3189,H331,H33.1,361.2,360-365.99,Retinoschisis and retinal cysts,Retinoschisis and retinal cysts,Degenerative disorders of the eye,H331
3190,3190,H332,H33.2,361.0,360-365.99,Serous retinal detachment,Retinal detachments and defects,Degenerative disorders of the eye,H332
3191,3191,H333,H33.3,361.0,360-365.99,Retinal breaks without detachment,Retinal detachments and defects,Degenerative disorders of the eye,H333
3192,3192,H334,H33.4,361.0,360-365.99,Traction detachment of retina,Retinal detachments and defects,Degenerative disorders of the eye,H334
3193,3193,H335,H33.5,361.0,360-365.99,Other retinal detachments,Retinal detachments and defects,Degenerative disorders of the eye,H335
3194,3194,H34,H34,362.4,"250.70-250.79,360-365.99",Retinal vascular occlusions,Retinal vascular changes and abnomalities,diabetic retinopathy and degenerative disorders of the eye,H34
3195,3195,H340,H34.0,362.4,"250.70-250.79,360-365.99",Transient retinal artery occlusion,Retinal vascular changes and abnomalities,diabetic retinopathy and degenerative disorders of the eye,H340
3196,3196,H341,H34.1,362.4,"250.70-250.79,360-365.99",Central retinal artery occlusion,Retinal vascular changes and abnomalities,diabetic retinopathy and degenerative disorders of the eye,H341
3197,3197,H342,H34.2,362.4,"250.70-250.79,360-365.99",Other retinal artery occlusions,Retinal vascular changes and abnomalities,diabetic retinopathy and degenerative disorders of the eye,H342
3198,3198,H348,H34.8,362.4,"250.70-250.79,360-365.99",Other retinal vascular occlusions,Retinal vascular changes and abnomalities,diabetic retinopathy and degenerative disorders of the eye,H348
3199,3199,H349,H34.9,362.4,"250.70-250.79,360-365.99","Retinal vascular occlusion, unspecified",Retinal vascular changes and abnomalities,diabetic retinopathy and degenerative disorders of the eye,H349
3200,3200,H35,H35,362.0,"250.70-250.79,360-365.99",Other retinal disorders,Other retinal disorders,diabetic retinopathy and degenerative disorders of the eye,H35
3201,3201,H350,H35.0,362.4,"250.70-250.79,360-365.99",Background retinopathy and retinal vascular changes,Retinal vascular changes and abnomalities,diabetic retinopathy and degenerative disorders of the eye,H350
3202,3202,H351,H35.1,362.1,"250.70-250.79,360-365.99",Retinopathy of prematurity,Retinopathy of prematurity,diabetic retinopathy and degenerative disorders of the eye,H351
3203,3203,H352,H35.2,362.3,"250.70-250.79,360-365.99",Other proliferative retinopathy,Other nondiabetic retinopathy,diabetic retinopathy and degenerative disorders of the eye,H352
3204,3204,H353,H35.3,,,Degeneration of macula and posterior pole,,,H353
3205,3205,H353,H35.3,362.29,"250.70-250.79,360-365.99",Degeneration of macula and posterior pole,Macular degeneration (senile) of retina NOS,diabetic retinopathy and degenerative disorders of the eye,H353
3206,3206,H354,H35.4,362.6,"250.70-250.79,360-365.99",Peripheral retinal degeneration,Peripheral retinal degenerations,diabetic retinopathy and degenerative disorders of the eye,H354
3207,3207,H355,H35.5,362.7,"250.70-250.79,360-365.99",Hereditary retinal dystrophy,Hereditary retinal dystrophies,diabetic retinopathy and degenerative disorders of the eye,H355
3208,3208,H356,H35.6,362.8,"250.70-250.79,360-365.99",Retinal haemorrhage,Retinal hemorrhage/ischemia,diabetic retinopathy and degenerative disorders of the eye,H356
3209,3209,H357,H35.7,362.31,"250.70-250.79,360-365.99",Separation of retinal layers,Separation of retinal layers,diabetic retinopathy and degenerative disorders of the eye,H357
3210,3210,H358,H35.8,362.0,"250.70-250.79,360-365.99",Other specified retinal disorders,Other retinal disorders,diabetic retinopathy and degenerative disorders of the eye,H358
3211,3211,H359,H35.9,362.0,"250.70-250.79,360-365.99","Retinal disorder, unspecified",Other retinal disorders,diabetic retinopathy and degenerative disorders of the eye,H359
3212,3212,H36,H36,362.7,"250.70-250.79,360-365.99",Retinal disorders in diseases classified elsewhere,Hereditary retinal dystrophies,diabetic retinopathy and degenerative disorders of the eye,H36
3213,3213,H360,H36.0,250.7,"250.70-250.79,360-365.99",Diabetic retinopathy,Diabetic retinopathy,diabetic retinopathy and degenerative disorders of the eye,H360
3214,3214,H40,H40,365.0,360-365.99,Glaucoma,Glaucoma,Degenerative disorders of the eye,H40
3215,3215,H400,H40.0,365.0,360-365.99,Glaucoma suspect,Glaucoma,Degenerative disorders of the eye,H400
3216,3216,H401,H40.1,365.11,360-365.99,Primary open-angle glaucoma,Primary open angle glaucoma,Degenerative disorders of the eye,H401
3217,3217,H402,H40.2,365.2,360-365.99,Primary angle-closure glaucoma,Primary angle-closure glaucoma,Degenerative disorders of the eye,H402
3218,3218,H403,H40.3,365.0,360-365.99,Glaucoma secondary to eye trauma,Glaucoma,Degenerative disorders of the eye,H403
3219,3219,H404,H40.4,365.0,360-365.99,Glaucoma secondary to eye inflammation,Glaucoma,Degenerative disorders of the eye,H404
3220,3220,H405,H40.5,365.0,360-365.99,Glaucoma secondary to other eye disorders,Glaucoma,Degenerative disorders of the eye,H405
3221,3221,H406,H40.6,365.0,360-365.99,Glaucoma secondary to drugs,Glaucoma,Degenerative disorders of the eye,H406
3222,3222,H408,H40.8,365.0,360-365.99,Other glaucoma,Glaucoma,Degenerative disorders of the eye,H408
3223,3223,H409,H40.9,365.0,360-365.99,"Glaucoma, unspecified",Glaucoma,Degenerative disorders of the eye,H409
3224,3224,H42,H42,365.0,360-365.99,Glaucoma in diseases classified elsewhere,Glaucoma,Degenerative disorders of the eye,H42
3225,3225,H420,H42.0,365.0,360-365.99,"Glaucoma in endocrine, nutritional and metabolic diseases",Glaucoma,Degenerative disorders of the eye,H420
3226,3226,H428,H42.8,365.0,360-365.99,Glaucoma in other diseases classified elsewhere,Glaucoma,Degenerative disorders of the eye,H428
3227,3227,H43,H43,379.2,375-379.99,Disorders of vitreous body,Disorders of vitreous body,other eye disorders,H43
3228,3228,H430,H43.0,379.2,375-379.99,Vitreous prolapse,Disorders of vitreous body,other eye disorders,H430
3229,3229,H431,H43.1,379.2,375-379.99,Vitreous haemorrhage,Disorders of vitreous body,other eye disorders,H431
3230,3230,H432,H43.2,379.2,375-379.99,Crystalline deposits in vitreous body,Disorders of vitreous body,other eye disorders,H432
3231,3231,H433,H43.3,379.2,375-379.99,Other vitreous opacities,Disorders of vitreous body,other eye disorders,H433
3232,3232,H438,H43.8,379.2,375-379.99,Other disorders of vitreous body,Disorders of vitreous body,other eye disorders,H438
3233,3233,H439,H43.9,379.2,375-379.99,"Disorder of vitreous body, unspecified",Disorders of vitreous body,other eye disorders,H439
3234,3234,H44,H44,360.0,360-365.99,Disorders of globe,Disorders of the globe,Degenerative disorders of the eye,H44
3235,3235,H440,H44.0,371.0,369-374.99,Purulent endophthalmitis,Inflammation of the eye,infection/inflammation of eye,H440
3236,3236,H441,H44.1,369.0,369-374.99,Other endophthalmitis,Infection of the eye,infection/inflammation of eye,H441
3237,3237,H442,H44.2,360.2,360-365.99,Degenerative myopia,Progressive myopia,Degenerative disorders of the eye,H442
3238,3238,H443,H44.3,360.0,360-365.99,Other degenerative disorders of globe,Disorders of the globe,Degenerative disorders of the eye,H443
3239,3239,H444,H44.4,360.3,360-365.99,Hypotony of eye,Hypotony of eye,Degenerative disorders of the eye,H444
3240,3240,H445,H44.5,360.0,360-365.99,Degenerated conditions of globe,Disorders of the globe,Degenerative disorders of the eye,H445
3241,3241,H446,H44.6,1001.0,,"Retained (old) intraocular foreign body, magnetic",Foreign body injury,,H446
3242,3242,H447,H44.7,1001.0,,"Retained (old) intraocular foreign body, nonmagnetic",Foreign body injury,,H447
3243,3243,H448,H44.8,360.0,360-365.99,Other disorders of globe,Disorders of the globe,Degenerative disorders of the eye,H448
3244,3244,H449,H44.9,360.0,360-365.99,"Disorder of globe, unspecified",Disorders of the globe,Degenerative disorders of the eye,H449
3245,3245,H450,H45.0,379.2,375-379.99,Vitreous haemorrhage in diseases classified elsewhere,Disorders of vitreous body,other eye disorders,H450
3246,3246,H46X,H46,377.3,375-379.99,Optic neuritis,Optic neuritis/neuropathy,other eye disorders,H46
3247,3247,H470,H47.0,377.3,375-379.99,"Disorders of optic nerve, not elsewhere classified",Optic neuritis/neuropathy,other eye disorders,H470
3248,3248,H471,H47.1,377.0,375-379.99,"Papilloedema, unspecified",Disorders of optic nerve and visual pathways,other eye disorders,H471
3249,3249,H472,H47.2,377.1,375-379.99,Optic atrophy,Optic atrophy,other eye disorders,H472
3250,3250,H473,H47.3,377.0,375-379.99,Other disorders of optic disc,Disorders of optic nerve and visual pathways,other eye disorders,H473
3251,3251,H474,H47.4,377.0,375-379.99,Disorders of optic chiasm,Disorders of optic nerve and visual pathways,other eye disorders,H474
3252,3252,H475,H47.5,377.0,375-379.99,Disorders of other visual pathways,Disorders of optic nerve and visual pathways,other eye disorders,H475
3253,3253,H476,H47.6,377.0,375-379.99,Disorders of visual cortex,Disorders of optic nerve and visual pathways,other eye disorders,H476
3254,3254,H477,H47.7,377.0,375-379.99,"Disorder of visual pathways, unspecified",Disorders of optic nerve and visual pathways,other eye disorders,H477
3255,3255,H49,H49,378.5,375-379.99,Paralytic strabismus,Paralytic strabismus,other eye disorders,H49
3256,3256,H490,H49.0,378.5,375-379.99,Third [oculomotor] nerve palsy,Paralytic strabismus,other eye disorders,H490
3257,3257,H491,H49.1,378.5,375-379.99,Fourth [trochlear] nerve palsy,Paralytic strabismus,other eye disorders,H491
3258,3258,H492,H49.2,378.5,375-379.99,Sixth [abducent] nerve palsy,Paralytic strabismus,other eye disorders,H492
3259,3259,H493,H49.3,378.5,375-379.99,Total (external) ophthalmoplegia,Paralytic strabismus,other eye disorders,H493
3260,3260,H494,H49.4,378.0,375-379.99,Progressive external ophthalmoplegia,Strabismus and other disorders of binocular eye movements,other eye disorders,H494
3261,3261,H498,H49.8,378.5,375-379.99,Other paralytic strabismus,Paralytic strabismus,other eye disorders,H498
3262,3262,H499,H49.9,378.5,375-379.99,"Paralytic strabismus, unspecified",Paralytic strabismus,other eye disorders,H499
3263,3263,H500,H50.0,378.1,375-379.99,Convergent concomitant strabismus,Strabismus (not specified as paralytic),other eye disorders,H500
3264,3264,H501,H50.1,378.1,375-379.99,Divergent concomitant strabismus,Strabismus (not specified as paralytic),other eye disorders,H501
3265,3265,H502,H50.2,378.1,375-379.99,Vertical strabismus,Strabismus (not specified as paralytic),other eye disorders,H502
3266,3266,H503,H50.3,378.1,375-379.99,Intermittent heterotropia,Strabismus (not specified as paralytic),other eye disorders,H503
3267,3267,H504,H50.4,378.1,375-379.99,Other and unspecified heterotropia,Strabismus (not specified as paralytic),other eye disorders,H504
3268,3268,H505,H50.5,378.1,375-379.99,Heterophoria,Strabismus (not specified as paralytic),other eye disorders,H505
3269,3269,H506,H50.6,378.1,375-379.99,Mechanical strabismus,Strabismus (not specified as paralytic),other eye disorders,H506
3270,3270,H508,H50.8,378.0,375-379.99,Other specified strabismus,Strabismus and other disorders of binocular eye movements,other eye disorders,H508
3271,3271,H509,H50.9,378.1,375-379.99,"Strabismus, unspecified",Strabismus (not specified as paralytic),other eye disorders,H509
3272,3272,H51,H51,378.0,375-379.99,Other disorders of binocular movement,Strabismus and other disorders of binocular eye movements,other eye disorders,H51
3273,3273,H510,H51.0,378.0,375-379.99,Palsy of conjugate gaze,Strabismus and other disorders of binocular eye movements,other eye disorders,H510
3274,3274,H511,H51.1,378.0,375-379.99,Convergence insufficiency and excess,Strabismus and other disorders of binocular eye movements,other eye disorders,H511
3275,3275,H512,H51.2,378.0,375-379.99,Internuclear ophthalmoplegia,Strabismus and other disorders of binocular eye movements,other eye disorders,H512
3276,3276,H518,H51.8,378.0,375-379.99,Other specified disorders of binocular movement,Strabismus and other disorders of binocular eye movements,other eye disorders,H518
3277,3277,H519,H51.9,378.0,375-379.99,"Disorder of binocular movement, unspecified",Strabismus and other disorders of binocular eye movements,other eye disorders,H519
3278,3278,H52,H52,367.0,367-367.99,Disorders of refraction and accommodation,Disorders of refraction and accommodation; blindness and low vision,Blindness and low vision,H52
3279,3279,H520,H52.0,367.8,367-367.99,Hypermetropia,Hypermetropia,Blindness and low vision,H520
3280,3280,H521,H52.1,367.1,367-367.99,Myopia,Myopia,Blindness and low vision,H521
3281,3281,H522,H52.2,367.2,367-367.99,Astigmatism,Astigmatism,Blindness and low vision,H522
3282,3282,H523,H52.3,368.3,368-368.99,Anisometropia and aniseikonia,Anisometropia,Visual disturbances/defects,H523
3283,3283,H524,H52.4,367.4,367-367.99,Presbyopia,Presbyopia,Blindness and low vision,H524
3284,3284,H525,H52.5,368.7,368-368.99,Disorders of accommodation,Disorders of accommodation,Visual disturbances/defects,H525
3285,3285,H526,H52.6,367.0,367-367.99,Other disorders of refraction,Disorders of refraction and accommodation; blindness and low vision,Blindness and low vision,H526
3286,3286,H527,H52.7,367.0,367-367.99,"Disorder of refraction, unspecified",Disorders of refraction and accommodation; blindness and low vision,Blindness and low vision,H527
3287,3287,H53,H53,368.0,368-368.99,Visual disturbances,Visual disturbances,Visual disturbances/defects,H53
3288,3288,H530,H53.0,368.1,368-368.99,Amblyopia ex anopsia,Amblyopia,Visual disturbances/defects,H530
3289,3289,H531,H53.1,368.9,368-368.99,Subjective visual disturbances,Subjective visual disturbances,Visual disturbances/defects,H531
3290,3290,H532,H53.2,368.2,368-368.99,Diplopia,Diplopia and disorders of binocular vision,Visual disturbances/defects,H532
3291,3291,H533,H53.3,368.2,368-368.99,Other disorders of binocular vision,Diplopia and disorders of binocular vision,Visual disturbances/defects,H533
3292,3292,H534,H53.4,368.4,368-368.99,Visual field defects,Visual field defects,Visual disturbances/defects,H534
3293,3293,H535,H53.5,368.5,368-368.99,Colour vision deficiencies,Color vision deficiencies,Visual disturbances/defects,H535
3294,3294,H536,H53.6,368.0,368-368.99,Night blindness,Visual disturbances,Visual disturbances/defects,H536
3295,3295,H538,H53.8,368.0,368-368.99,Other visual disturbances,Visual disturbances,Visual disturbances/defects,H538
3296,3296,H539,H53.9,368.0,368-368.99,"Visual disturbance, unspecified",Visual disturbances,Visual disturbances/defects,H539
3297,3297,H54,H54,367.9,367-367.99,Visual impairment including blindness (binocular or monocular),Blindness and low vision,Blindness and low vision,H54
3298,3298,H540,H54.0,367.9,367-367.99,"Blindness, binocular",Blindness and low vision,Blindness and low vision,H540
3299,3299,H541,H54.1,367.9,367-367.99,"Severe visual impairment, binocular",Blindness and low vision,Blindness and low vision,H541
3300,3300,H542,H54.2,367.9,367-367.99,"Moderate visual impairment, binocular",Blindness and low vision,Blindness and low vision,H542
3301,3301,H543,H54.3,367.9,367-367.99,"Mild or no visual impairment, binocular",Blindness and low vision,Blindness and low vision,H543
3302,3302,H544,H54.4,367.9,367-367.99,"Blindness, monocular",Blindness and low vision,Blindness and low vision,H544
3303,3303,H545,H54.5,367.9,367-367.99,"Severe visual impairment, monocular",Blindness and low vision,Blindness and low vision,H545
3304,3304,H546,H54.6,367.9,367-367.99,"Moderate visual impairment, monocular",Blindness and low vision,Blindness and low vision,H546
3305,3305,H55X,H55,378.2,375-379.99,Nystagmus and other irregular eye movements,Nystagmus and other irregular eye movements,other eye disorders,H55
3306,3306,H570,H57.0,379.4,375-379.99,Anomalies of pupillary function,Anomalies of pupillary function,other eye disorders,H570
3307,3307,H571,H57.1,379.9,375-379.99,Ocular pain,"Pain, swelling or discharge of eye",other eye disorders,H571
3308,3308,H578,H57.8,379.0,375-379.99,Other specified disorders of eye and adnexa,Other disorders of eye,other eye disorders,H578
3309,3309,H579,H57.9,379.0,375-379.99,"Disorder of eye and adnexa, unspecified",Other disorders of eye,other eye disorders,H579
3310,3310,H590,H59.0,1011.0,,Keratopathy (bullous aphakic) following cataract surgery,Complications of surgical and medical procedures,,H590
3311,3311,H598,H59.8,1011.0,,Other postprocedural disorders of eye and adnexa,Complications of surgical and medical procedures,,H598
3312,3312,H599,H59.9,1011.0,,"Postprocedural disorder of eye and adnexa, unspecified",Complications of surgical and medical procedures,,H599
3313,3313,H60,H60,380.1,380-380.99,Otitis externa,Otitis externa,disorders of external ear,H60
3314,3314,H600,H60.0,380.1,380-380.99,Abscess of external ear,Otitis externa,disorders of external ear,H600
3315,3315,H600,H60.0,686.1,680-686.99,Abscess of external ear,Carbuncle and furuncle,Skin and subcutaneous tissue infections,H600
3316,3316,H601,H60.1,380.1,380-380.99,Cellulitis of external ear,Otitis externa,disorders of external ear,H601
3317,3317,H602,H60.2,380.1,380-380.99,Malignant otitis externa,Otitis externa,disorders of external ear,H602
3318,3318,H603,H60.3,380.1,380-380.99,Other infective otitis externa,Otitis externa,disorders of external ear,H603
3319,3319,H604,H60.4,385.3,381-385.99,Cholesteatoma of external ear,Cholesteatoma,otitis media and related conditions,H604
3320,3320,H605,H60.5,380.1,380-380.99,"Acute otitis externa, noninfective",Otitis externa,disorders of external ear,H605
3321,3321,H608,H60.8,380.1,380-380.99,Other otitis externa,Otitis externa,disorders of external ear,H608
3322,3322,H609,H60.9,380.1,380-380.99,"Otitis externa, unspecified",Otitis externa,disorders of external ear,H609
3323,3323,H61,H61,380.0,380-380.99,Other disorders of external ear,Disorders of external ear,disorders of external ear,H61
3324,3324,H610,H61.0,380.0,380-380.99,Perichondritis of external ear,Disorders of external ear,disorders of external ear,H610
3325,3325,H611,H61.1,380.0,380-380.99,Noninfective disorders of pinna,Disorders of external ear,disorders of external ear,H611
3326,3326,H612,H61.2,380.4,380-380.99,Impacted cerumen,Impacted cerumen,disorders of external ear,H612
3327,3327,H613,H61.3,380.0,380-380.99,Acquired stenosis of external ear canal,Disorders of external ear,disorders of external ear,H613
3328,3328,H618,H61.8,380.0,380-380.99,Other specified disorders of external ear,Disorders of external ear,disorders of external ear,H618
3329,3329,H619,H61.9,380.0,380-380.99,"Disorder of external ear, unspecified",Disorders of external ear,disorders of external ear,H619
3330,3330,H62,H62,380.1,380-380.99,Disorders of external ear in diseases classified elsewhere,Otitis externa,disorders of external ear,H62
3331,3331,H620,H62.0,380.1,380-380.99,Otitis externa in bacterial diseases classified elsewhere,Otitis externa,disorders of external ear,H620
3332,3332,H621,H62.1,380.1,380-380.99,Otitis externa in viral diseases classified elsewhere,Otitis externa,disorders of external ear,H621
3333,3333,H624,H62.4,380.1,380-380.99,Otitis externa in other diseases classified elsewhere,Otitis externa,disorders of external ear,H624
3334,3334,H628,H62.8,380.1,380-380.99,Other disorders of external ear in diseases classified elsewhere,Otitis externa,disorders of external ear,H628
3335,3335,H628,H62.8,380.0,380-380.99,Other disorders of external ear in diseases classified elsewhere,Disorders of external ear,disorders of external ear,H628
3336,3336,H65,H65,381.1,381-385.99,Nonsuppurative otitis media,Otitis media,otitis media and related conditions,H65
3337,3337,H650,H65.0,381.1,381-385.99,Acute serous otitis media,Otitis media,otitis media and related conditions,H650
3338,3338,H651,H65.1,381.1,381-385.99,Other acute nonsuppurative otitis media,Otitis media,otitis media and related conditions,H651
3339,3339,H652,H65.2,381.1,381-385.99,Chronic serous otitis media,Otitis media,otitis media and related conditions,H652
3340,3340,H653,H65.3,381.1,381-385.99,Chronic mucoid otitis media,Otitis media,otitis media and related conditions,H653
3341,3341,H654,H65.4,381.1,381-385.99,Other chronic nonsuppurative otitis media,Otitis media,otitis media and related conditions,H654
3342,3342,H659,H65.9,381.1,381-385.99,"Nonsuppurative otitis media, unspecified",Otitis media,otitis media and related conditions,H659
3343,3343,H66,H66,381.11,381-385.99,Suppurative and unspecified otitis media,Suppurative and unspecified otitis media,otitis media and related conditions,H66
3344,3344,H660,H66.0,381.11,381-385.99,Acute suppurative otitis media,Suppurative and unspecified otitis media,otitis media and related conditions,H660
3345,3345,H661,H66.1,381.11,381-385.99,Chronic tubotympanic suppurative otitis media,Suppurative and unspecified otitis media,otitis media and related conditions,H661
3346,3346,H662,H66.2,381.11,381-385.99,Chronic atticoantral suppurative otitis media,Suppurative and unspecified otitis media,otitis media and related conditions,H662
3347,3347,H663,H66.3,381.11,381-385.99,Other chronic suppurative otitis media,Suppurative and unspecified otitis media,otitis media and related conditions,H663
3348,3348,H664,H66.4,381.11,381-385.99,"Suppurative otitis media, unspecified",Suppurative and unspecified otitis media,otitis media and related conditions,H664
3349,3349,H669,H66.9,381.11,381-385.99,"Otitis media, unspecified",Suppurative and unspecified otitis media,otitis media and related conditions,H669
3350,3350,H67,H67,381.11,381-385.99,Otitis media in diseases classified elsewhere,Suppurative and unspecified otitis media,otitis media and related conditions,H67
3351,3351,H671,H67.1,381.1,381-385.99,Otitis media in viral diseases classified elsewhere,Otitis media,otitis media and related conditions,H671
3352,3352,H678,H67.8,381.1,381-385.99,Otitis media in other diseases classified elsewhere,Otitis media,otitis media and related conditions,H678
3353,3353,H68,H68,381.2,381-385.99,Eustachian salpingitis and obstruction,Eustachian tube disorders,otitis media and related conditions,H68
3354,3354,H680,H68.0,381.2,381-385.99,Eustachian salpingitis,Eustachian tube disorders,otitis media and related conditions,H680
3355,3355,H681,H68.1,381.2,381-385.99,Obstruction of Eustachian tube,Eustachian tube disorders,otitis media and related conditions,H681
3356,3356,H69,H69,381.2,381-385.99,Other disorders of Eustachian tube,Eustachian tube disorders,otitis media and related conditions,H69
3357,3357,H690,H69.0,381.2,381-385.99,Patulous Eustachian tube,Eustachian tube disorders,otitis media and related conditions,H690
3358,3358,H698,H69.8,381.2,381-385.99,Other specified disorders of Eustachian tube,Eustachian tube disorders,otitis media and related conditions,H698
3359,3359,H699,H69.9,381.2,381-385.99,"Eustachian tube disorder, unspecified",Eustachian tube disorders,otitis media and related conditions,H699
3360,3360,H70,H70,381.3,381-385.99,Mastoiditis and related conditions,Mastoiditis & related conditions,otitis media and related conditions,H70
3361,3361,H700,H70.0,381.3,381-385.99,Acute mastoiditis,Mastoiditis & related conditions,otitis media and related conditions,H700
3362,3362,H701,H70.1,381.3,381-385.99,Chronic mastoiditis,Mastoiditis & related conditions,otitis media and related conditions,H701
3363,3363,H702,H70.2,381.3,381-385.99,Petrositis,Mastoiditis & related conditions,otitis media and related conditions,H702
3364,3364,H708,H70.8,381.3,381-385.99,Other mastoiditis and related conditions,Mastoiditis & related conditions,otitis media and related conditions,H708
3365,3365,H709,H70.9,381.3,381-385.99,"Mastoiditis, unspecified",Mastoiditis & related conditions,otitis media and related conditions,H709
3366,3366,H71X,H71,385.3,381-385.99,Cholesteatoma of middle ear,Cholesteatoma,otitis media and related conditions,H71
3367,3367,H72,H72,384.4,381-385.99,Perforation of tympanic membrane,Perforation of tympanic membrane,otitis media and related conditions,H72
3368,3368,H720,H72.0,384.4,381-385.99,Central perforation of tympanic membrane,Perforation of tympanic membrane,otitis media and related conditions,H720
3369,3369,H721,H72.1,384.4,381-385.99,Attic perforation of tympanic membrane,Perforation of tympanic membrane,otitis media and related conditions,H721
3370,3370,H722,H72.2,384.4,381-385.99,Other marginal perforations of tympanic membrane,Perforation of tympanic membrane,otitis media and related conditions,H722
3371,3371,H728,H72.8,384.4,381-385.99,Other perforations of tympanic membrane,Perforation of tympanic membrane,otitis media and related conditions,H728
3372,3372,H729,H72.9,384.4,381-385.99,"Perforation of tympanic membrane, unspecified",Perforation of tympanic membrane,otitis media and related conditions,H729
3373,3373,H73,H73,384.0,381-385.99,Other disorders of tympanic membrane,Other disorders of tympanic membrane,otitis media and related conditions,H73
3374,3374,H730,H73.0,384.1,381-385.99,Acute myringitis,Myringitis,otitis media and related conditions,H730
3375,3375,H731,H73.1,384.1,381-385.99,Chronic myringitis,Myringitis,otitis media and related conditions,H731
3376,3376,H738,H73.8,384.0,381-385.99,Other specified disorders of tympanic membrane,Other disorders of tympanic membrane,otitis media and related conditions,H738
3377,3377,H739,H73.9,384.0,381-385.99,"Disorder of tympanic membrane, unspecified",Other disorders of tympanic membrane,otitis media and related conditions,H739
3378,3378,H74,H74,385.0,381-385.99,Other disorders of middle ear and mastoid,Other disorders of middle ear and mastoid,otitis media and related conditions,H74
3379,3379,H740,H74.0,385.5,381-385.99,Tympanosclerosis,Tympanosclerosis and middle ear disease related to otitis media,otitis media and related conditions,H740
3380,3380,H741,H74.1,385.5,381-385.99,Adhesive middle ear disease,Tympanosclerosis and middle ear disease related to otitis media,otitis media and related conditions,H741
3381,3381,H742,H74.2,385.5,381-385.99,Discontinuity and dislocation of ear ossicles,Tympanosclerosis and middle ear disease related to otitis media,otitis media and related conditions,H742
3382,3382,H743,H74.3,385.5,381-385.99,Other acquired abnormalities of ear ossicles,Tympanosclerosis and middle ear disease related to otitis media,otitis media and related conditions,H743
3383,3383,H744,H74.4,385.3,381-385.99,Polyp of middle ear,Cholesteatoma,otitis media and related conditions,H744
3384,3384,H748,H74.8,385.0,381-385.99,Other specified disorders of middle ear and mastoid,Other disorders of middle ear and mastoid,otitis media and related conditions,H748
3385,3385,H749,H74.9,385.0,381-385.99,"Disorder of middle ear and mastoid, unspecified",Other disorders of middle ear and mastoid,otitis media and related conditions,H749
3386,3386,H75,H75,381.3,381-385.99,Other disorders of middle ear and mastoid in diseases classified elsewhere,Mastoiditis & related conditions,otitis media and related conditions,H75
3387,3387,H750,H75.0,381.3,381-385.99,Mastoiditis in infectious and parasitic diseases classified elsewhere,Mastoiditis & related conditions,otitis media and related conditions,H750
3388,3388,H758,H75.8,381.3,381-385.99,Other specified disorders of middle ear and mastoid in diseases classified elsewhere,Mastoiditis & related conditions,otitis media and related conditions,H758
3389,3389,H80,H80,383.0,381-385.99,Otosclerosis,Otosclerosis,otitis media and related conditions,H80
3390,3390,H800,H80.0,383.0,381-385.99,"Otosclerosis involving oval window, nonobliterative",Otosclerosis,otitis media and related conditions,H800
3391,3391,H801,H80.1,383.0,381-385.99,"Otosclerosis involving oval window, obliterative",Otosclerosis,otitis media and related conditions,H801
3392,3392,H802,H80.2,383.0,381-385.99,Cochlear otosclerosis,Otosclerosis,otitis media and related conditions,H802
3393,3393,H808,H80.8,383.0,381-385.99,Other otosclerosis,Otosclerosis,otitis media and related conditions,H808
3394,3394,H809,H80.9,383.0,381-385.99,"Otosclerosis, unspecified",Otosclerosis,otitis media and related conditions,H809
3395,3395,H81,H81,386.0,386-386.99,Disorders of vestibular function,Vertiginous syndromes and other disorders of vestibular system,conditions associated with dizziness or vertigo,H81
3396,3396,H810,H81.0,386.1,386-386.99,MÃ©niÃ?re disease,Meniere's disease,conditions associated with dizziness or vertigo,H810
3397,3397,H811,H81.1,386.2,386-386.99,Benign paroxysmal vertigo,Peripheral or central vertigo,conditions associated with dizziness or vertigo,H811
3398,3398,H812,H81.2,386.2,386-386.99,Vestibular neuronitis,Peripheral or central vertigo,conditions associated with dizziness or vertigo,H812
3399,3399,H812,H81.2,79.0,050-079.99,Vestibular neuronitis,Viral infection,Viral infection,H812
3400,3400,H813,H81.3,386.2,386-386.99,Other peripheral vertigo,Peripheral or central vertigo,conditions associated with dizziness or vertigo,H813
3401,3401,H814,H81.4,386.21,386-386.99,Vertigo of central origin,Central origin vertigo,conditions associated with dizziness or vertigo,H814
3402,3402,H819,H81.9,386.0,386-386.99,"Disorder of vestibular function, unspecified",Vertiginous syndromes and other disorders of vestibular system,conditions associated with dizziness or vertigo,H819
3403,3403,H82X,H82,386.3,386-386.99,Vertiginous syndromes in diseases classified elsewhere,Labyrinthitis,conditions associated with dizziness or vertigo,H82
3404,3404,H830,H83.0,386.3,386-386.99,Labyrinthitis,Labyrinthitis,conditions associated with dizziness or vertigo,H830
3405,3405,H831,H83.1,386.3,386-386.99,Labyrinthine fistula,Labyrinthitis,conditions associated with dizziness or vertigo,H831
3406,3406,H832,H83.2,386.3,386-386.99,Labyrinthine dysfunction,Labyrinthitis,conditions associated with dizziness or vertigo,H832
